iter	Passed	Remaining
792	18753	4895
793	18775	4871
794	18799	4847
795	18822	4823
796	18846	4800
797	18870	4776
798	18891	4752
799	18914	4728
800	18939	4705
801	18961	4681
802	18981	4656
803	19005	4633
804	19029	4609
805	19055	4586
806	19079	4563
807	19104	4539
808	19128	4516
809	19152	4492
810	19178	4469
811	19201	4445
812	19228	4422
813	19251	4399
814	19273	4375
815	19297	4351
816	19321	4327
817	19341	4303
818	19365	4279
819	19389	4256
820	19415	4233
821	19439	4209
822	19462	4185
823	19485	4161
824	19511	4138
825	19537	4115
826	19561	4092
827	19587	4068
828	19611	4045
829	19635	4021
830	19659	3998
831	19682	3974
832	19708	3951
833	19731	3927
834	19754	3903
835	19778	3879
836	19801	3856
837	19825	3832
838	19850	3809
839	19875	3785
840	19899	3762
841	19923	3738
842	19947	3714
843	19971	3691
844	19993	3667
845	20016	3643
846	20039	3619
847	20063	3596
848	20088	3572
849	20113	3549
850	20137	3525
851	20162	3502
852	20188	3479
853	20212	3455
854	20234	3431
855	20261	3408
856	20288	3385
857	20312	3361
858	20333	3337
859	20358	3314
860	20382	3290
861	20408	3267
862	20431	3243
863	20455	3219
864	20478	3196
865	20501	3172
866	20523	3148
867	20547	3124
868	20571	3101
869	20597	3077
870	20617	3053
871	20639	3029
872	20664	3006
873	20687	2982
874	20713	2959
875	20738	2935
876	20761	2911
877	20784	2888
878	20808	2864
879	20832	2840
880	20857	2817
881	20882	2793
882	20905	2770
883	20933	2746
884	20962	2723
885	20987	2700
886	21007	2676
887	21032	2652
888	21054	2628
889	21080	2605
890	21103	2581
891	21128	2558
892	21152	2534
893	21175	2510
894	21197	2486
895	21222	2463
896	21249	2439
897	21273	2416
898	21296	2392
899	21322	2369
900	21345	2345
901	21371	2321
902	21392	2298
903	21418	2274
904	21443	2250
905	21466	2227
906	21490	2203
907	21515	2179
908	21539	2156
909	21562	2132
910	21586	2108
911	21610	2085
912	21636	2061
913	21659	2037
914	21684	2014
915	21709	1990
916	21735	1967
917	21759	1943
918	21784	1920
919	21808	1896
920	21832	1872
921	21859	1849
922	21884	1825
923	21909	1802
924	21934	1778
925	21959	1754
926	21983	1731
927	22007	1707
928	22031	1683
929	22057	1660
930	22080	1636
931	22104	1612
932	22128	1589
933	22152	1565
934	22174	1541
935	22197	1517
936	22223	1494
937	22250	1470
938	22271	1446
939	22295	1423
940	22318	1399
941	22342	1375
942	22367	1351
943	22394	1328
944	22418	1304
945	22440	1280
946	22464	1257
947	22487	1233
948	22511	1209
949	22535	1186
950	22560	1162
951	22584	1138
952	22608	1115
953	22632	1091
954	22655	1067
955	22681	1043
956	22706	1020
957	22729	996
958	22754	972
959	22778	949
960	22802	925
961	22827	901
962	22851	877
963	22873	854
964	22898	830
965	22922	806
966	22944	783
967	22970	759
968	22992	735
969	23015	711
970	23038	688
971	23063	664
972	23087	640
973	23109	616
974	23133	593
975	23155	569
976	23177	545
977	23199	521
978	23222	498
979	23247	474
980	23271	450
981	23296	427
982	23320	403
983	23340	379
984	23366	355
985	23391	332
986	23417	308
987	23441	284
988	23463	260
989	23484	237
990	23509	213
991	23532	189
992	23553	166
993	23577	142
994	23601	118
995	23626	94
996	23652	71
997	23677	47
998	23702	23
999	23728	0
